,POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
321,11,DIADEMA,SÃO PAULO,DIESEL S10,NACIONAL,6.699000000000001,INTERIOR
324,14,DIADEMA,SÃO PAULO,DIESEL S10,NACIONAL,6.79,INTERIOR
327,3,AVARE,SÃO PAULO,DIESEL S10,NACIONAL,6.75,INTERIOR
331,7,AVARE,SÃO PAULO,DIESEL S10,NACIONAL,6.86,INTERIOR
336,5,JOSE BONIFACIO,SÃO PAULO,DIESEL S10,NACIONAL,6.75,INTERIOR
337,6,JOSE BONIFACIO,SÃO PAULO,DIESEL S10,NACIONAL,6.75,INTERIOR
338,7,JOSE BONIFACIO,SÃO PAULO,DIESEL S10,NACIONAL,6.759000000000001,INTERIOR
341,1,BOTUCATU,SÃO PAULO,DIESEL S10,NACIONAL,6.49,INTERIOR
342,2,BOTUCATU,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,INTERIOR
343,3,BOTUCATU,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,INTERIOR
348,2,CAMPINAS,SÃO PAULO,DIESEL S10,NACIONAL,6.299000000000001,INTERIOR
349,3,CAMPINAS,SÃO PAULO,DIESEL S10,NACIONAL,6.349000000000001,INTERIOR
358,12,CAMPINAS,SÃO PAULO,DIESEL S10,NACIONAL,6.497000000000001,INTERIOR
360,14,CAMPINAS,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,INTERIOR
361,15,CAMPINAS,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,INTERIOR
362,16,CAMPINAS,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,INTERIOR
368,22,CAMPINAS,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
374,28,CAMPINAS,SÃO PAULO,DIESEL S10,NACIONAL,6.699000000000001,INTERIOR
377,31,CAMPINAS,SÃO PAULO,DIESEL S10,NACIONAL,6.97,INTERIOR
378,32,CAMPINAS,SÃO PAULO,DIESEL S10,NACIONAL,6.9990000000000006,INTERIOR
379,33,CAMPINAS,SÃO PAULO,DIESEL S10,NACIONAL,6.9990000000000006,INTERIOR
381,2,BRAGANCA PAULISTA,SÃO PAULO,DIESEL S10,NACIONAL,6.399000000000001,INTERIOR
391,2,BRAGANCA,SÃO PAULO,DIESEL S10,NACIONAL,6.399000000000001,INTERIOR
400,1,MOGI MIRIM,SÃO PAULO,DIESEL S10,NACIONAL,6.17,INTERIOR
402,3,MOGI MIRIM,SÃO PAULO,DIESEL S10,NACIONAL,6.59,INTERIOR
404,5,MOGI MIRIM,SÃO PAULO,DIESEL S10,NACIONAL,6.79,INTERIOR
407,2,JUNDIAI,SÃO PAULO,DIESEL S10,NACIONAL,6.52,INTERIOR
408,3,JUNDIAI,SÃO PAULO,DIESEL S10,NACIONAL,6.59,INTERIOR
411,6,JUNDIAI,SÃO PAULO,DIESEL S10,NACIONAL,6.59,INTERIOR
412,7,JUNDIAI,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
413,8,JUNDIAI,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
428,4,CRUZEIRO,SÃO PAULO,DIESEL S10,NACIONAL,6.62,INTERIOR
429,5,CRUZEIRO,SÃO PAULO,DIESEL S10,NACIONAL,6.74,INTERIOR
431,1,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,METRÓPOLE
434,4,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,METRÓPOLE
437,7,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,6.799000000000001,METRÓPOLE
438,8,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,6.799000000000001,METRÓPOLE
439,9,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,6.89,METRÓPOLE
440,10,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,6.899000000000001,METRÓPOLE
442,12,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,6.99,METRÓPOLE
443,13,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,7.19,METRÓPOLE
444,14,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,7.19,METRÓPOLE
445,15,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,7.29,METRÓPOLE
446,16,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,7.29,METRÓPOLE
