,POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
205,12,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.95,INTERIOR
206,13,ARARAQUARA,SÃO PAULO,DIESEL S10,NACIONAL,7.49,INTERIOR
207,1,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
208,2,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
209,3,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
210,4,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
211,5,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
212,6,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
213,7,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
214,8,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.7,INTERIOR
215,9,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.7,INTERIOR
216,10,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.77,INTERIOR
217,11,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.799000000000001,INTERIOR
218,12,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.799000000000001,INTERIOR
219,13,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.799000000000001,INTERIOR
220,14,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.899000000000001,INTERIOR
221,15,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.9990000000000006,INTERIOR
222,16,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
223,17,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,7.09,INTERIOR
224,1,AMPARO,SÃO PAULO,DIESEL S10,OUTRO,6.55,INTERIOR
225,2,AMPARO,SÃO PAULO,DIESEL S10,NACIONAL,6.55,INTERIOR
226,3,AMPARO,SÃO PAULO,DIESEL S10,OUTRO,6.55,INTERIOR
227,4,AMPARO,SÃO PAULO,DIESEL S10,NACIONAL,6.55,INTERIOR
228,5,AMPARO,SÃO PAULO,DIESEL S10,OUTRO,6.55,INTERIOR
229,6,AMPARO,SÃO PAULO,DIESEL S10,NACIONAL,6.59,INTERIOR
230,1,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
231,2,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
232,3,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
233,4,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
234,5,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.799000000000001,INTERIOR
235,6,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.799000000000001,INTERIOR
236,7,MOCOCA,SÃO PAULO,DIESEL S10,NACIONAL,6.899000000000001,INTERIOR
237,8,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.899000000000001,INTERIOR
238,9,MOCOCA,SÃO PAULO,DIESEL S10,NACIONAL,6.9990000000000006,INTERIOR
239,10,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
240,1,ADAMANTINA,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
241,2,ADAMANTINA,SÃO PAULO,DIESEL S10,NACIONAL,6.79,INTERIOR
242,1,ITAPOLIS,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
243,2,ITAPOLIS,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
244,3,ITAPOLIS,SÃO PAULO,DIESEL S10,NACIONAL,6.699000000000001,INTERIOR
245,4,ITAPOLIS,SÃO PAULO,DIESEL S10,OUTRO,6.799000000000001,INTERIOR
246,5,ITAPOLIS,SÃO PAULO,DIESEL S10,NACIONAL,6.849000000000001,INTERIOR
247,6,ITAPOLIS,SÃO PAULO,DIESEL S10,OUTRO,7.0,INTERIOR
248,1,ITAPIRA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
249,2,ITAPIRA,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
250,3,ITAPIRA,SÃO PAULO,DIESEL S10,OUTRO,6.69,INTERIOR
251,4,ITAPIRA,SÃO PAULO,DIESEL S10,OUTRO,6.69,INTERIOR
252,5,ITAPIRA,SÃO PAULO,DIESEL S10,OUTRO,6.87,INTERIOR
253,1,HORTOLANDIA,SÃO PAULO,DIESEL S10,OUTRO,6.199000000000001,INTERIOR
254,2,HORTOLANDIA,SÃO PAULO,DIESEL S10,OUTRO,6.299000000000001,INTERIOR
255,3,HORTOLANDIA,SÃO PAULO,DIESEL S10,NACIONAL,6.299000000000001,INTERIOR
256,4,HORTOLANDIA,SÃO PAULO,DIESEL S10,OUTRO,6.299000000000001,INTERIOR
257,5,HORTOLANDIA,SÃO PAULO,DIESEL S10,OUTRO,6.299000000000001,INTERIOR
258,6,HORTOLANDIA,SÃO PAULO,DIESEL S10,NACIONAL,6.39,INTERIOR
259,7,HORTOLANDIA,SÃO PAULO,DIESEL S10,OUTRO,6.489000000000001,INTERIOR
260,8,HORTOLANDIA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
261,9,HORTOLANDIA,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
262,10,HORTOLANDIA,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
263,11,HORTOLANDIA,SÃO PAULO,DIESEL S10,NACIONAL,6.699000000000001,INTERIOR
264,1,AMERICANA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
265,2,AMERICANA,SÃO PAULO,DIESEL S10,NACIONAL,6.549000000000001,INTERIOR
