POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
3,MOGI DAS CRUZES,SÃO PAULO,DIESEL,NACIONAL,6.59,METRÓPOLE
1,GARCA,SÃO PAULO,DIESEL,OUTRO,6.39,INTERIOR
2,GARCA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
3,GARCA,SÃO PAULO,DIESEL,NACIONAL,6.64,INTERIOR
4,GARCA,SÃO PAULO,DIESEL,OUTRO,6.799000000000001,INTERIOR
1,ITU,SÃO PAULO,DIESEL,OUTRO,6.099,INTERIOR
2,ITU,SÃO PAULO,DIESEL,OUTRO,6.239000000000001,INTERIOR
3,ITU,SÃO PAULO,DIESEL,OUTRO,6.29,INTERIOR
4,ITU,SÃO PAULO,DIESEL,NACIONAL,6.299000000000001,INTERIOR
5,ITU,SÃO PAULO,DIESEL,OUTRO,6.33,INTERIOR
6,ITU,SÃO PAULO,DIESEL,OUTRO,6.39,INTERIOR
7,ITU,SÃO PAULO,DIESEL,NACIONAL,6.439000000000001,INTERIOR
1,GUARUJA,SÃO PAULO,DIESEL,NACIONAL,6.599000000000001,INTERIOR
2,GUARUJA,SÃO PAULO,DIESEL,OUTRO,6.649000000000001,INTERIOR
1,BEBEDOURO,SÃO PAULO,DIESEL,OUTRO,6.29,INTERIOR
2,BEBEDOURO,SÃO PAULO,DIESEL,OUTRO,6.35,INTERIOR
3,BEBEDOURO,SÃO PAULO,DIESEL,OUTRO,6.44,INTERIOR
4,BEBEDOURO,SÃO PAULO,DIESEL,OUTRO,6.599000000000001,INTERIOR
1,LEME,SÃO PAULO,DIESEL,OUTRO,6.02,INTERIOR
2,LEME,SÃO PAULO,DIESEL,OUTRO,6.09,INTERIOR
3,LEME,SÃO PAULO,DIESEL,OUTRO,6.098000000000001,INTERIOR
4,LEME,SÃO PAULO,DIESEL,OUTRO,6.14,INTERIOR
5,LEME,SÃO PAULO,DIESEL,NACIONAL,6.148000000000001,INTERIOR
6,LEME,SÃO PAULO,DIESEL,NACIONAL,6.3180000000000005,INTERIOR
7,LEME,SÃO PAULO,DIESEL,OUTRO,6.39,INTERIOR
8,LEME,SÃO PAULO,DIESEL,NACIONAL,6.4,INTERIOR
9,LEME,SÃO PAULO,DIESEL,OUTRO,6.49,INTERIOR
10,LEME,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
1,GUARULHOS,SÃO PAULO,DIESEL,OUTRO,6.189000000000001,INTERIOR
2,GUARULHOS,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
3,GUARULHOS,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
4,GUARULHOS,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
5,GUARULHOS,SÃO PAULO,DIESEL,NACIONAL,6.279000000000001,INTERIOR
6,GUARULHOS,SÃO PAULO,DIESEL,OUTRO,6.549000000000001,INTERIOR
