POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
2,ITAPETININGA,SÃO PAULO,DIESEL S10,OUTRO,6.2490000000000006,INTERIOR
3,ITAPETININGA,SÃO PAULO,DIESEL S10,OUTRO,6.299000000000001,INTERIOR
4,ITAPETININGA,SÃO PAULO,DIESEL S10,OUTRO,6.4,INTERIOR
5,ITAPETININGA,SÃO PAULO,DIESEL S10,OUTRO,6.699000000000001,INTERIOR
6,ITAPETININGA,SÃO PAULO,DIESEL S10,OUTRO,6.899000000000001,INTERIOR
7,ITAPETININGA,SÃO PAULO,DIESEL S10,NACIONAL,6.979000000000001,INTERIOR
8,ITAPETININGA,SÃO PAULO,DIESEL S10,NACIONAL,7.099000000000001,INTERIOR
9,ITAPETININGA,SÃO PAULO,DIESEL S10,NACIONAL,7.29,INTERIOR
10,ITAPETININGA,SÃO PAULO,DIESEL S10,NACIONAL,7.299000000000001,INTERIOR
1,CUBATAO,SÃO PAULO,DIESEL S10,NACIONAL,6.899000000000001,INTERIOR
2,CUBATAO,SÃO PAULO,DIESEL S10,NACIONAL,6.997000000000001,INTERIOR
3,CUBATAO,SÃO PAULO,DIESEL S10,NACIONAL,6.998000000000001,INTERIOR
4,CUBATAO,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
5,CUBATAO,SÃO PAULO,DIESEL S10,NACIONAL,7.049000000000001,INTERIOR
6,CUBATAO,SÃO PAULO,DIESEL S10,NACIONAL,7.1,INTERIOR
1,INTANHAEM,SÃO PAULO,DIESEL S10,NACIONAL,6.99,INTERIOR
2,INTANHAEM,SÃO PAULO,DIESEL S10,NACIONAL,6.9990000000000006,INTERIOR
3,INTANHAEM,SÃO PAULO,DIESEL S10,NACIONAL,7.39,INTERIOR
4,INTANHAEM,SÃO PAULO,DIESEL S10,NACIONAL,7.46,INTERIOR
1,JALES,SÃO PAULO,DIESEL S10,OUTRO,6.94,INTERIOR
2,JALES,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
3,JALES,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
4,JALES,SÃO PAULO,DIESEL S10,NACIONAL,6.9990000000000006,INTERIOR
5,JALES,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
6,JALES,SÃO PAULO,DIESEL S10,NACIONAL,6.9990000000000006,INTERIOR
7,JALES,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
8,JALES,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
9,JALES,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
1,ATIBAIA,SÃO PAULO,DIESEL S10,OUTRO,6.19,INTERIOR
2,ATIBAIA,SÃO PAULO,DIESEL S10,OUTRO,6.5,INTERIOR
3,ATIBAIA,SÃO PAULO,DIESEL S10,OUTRO,6.67,INTERIOR
4,ATIBAIA,SÃO PAULO,DIESEL S10,NACIONAL,6.699000000000001,INTERIOR
5,ATIBAIA,SÃO PAULO,DIESEL S10,NACIONAL,6.79,INTERIOR
6,ATIBAIA,SÃO PAULO,DIESEL S10,NACIONAL,6.8,INTERIOR
7,ATIBAIA,SÃO PAULO,DIESEL S10,NACIONAL,6.817,INTERIOR
8,ATIBAIA,SÃO PAULO,DIESEL S10,NACIONAL,6.897,INTERIOR
9,ATIBAIA,SÃO PAULO,DIESEL S10,NACIONAL,6.99,INTERIOR
10,ATIBAIA,SÃO PAULO,DIESEL S10,NACIONAL,6.9990000000000006,INTERIOR
11,ATIBAIA,SÃO PAULO,DIESEL S10,NACIONAL,7.23,INTERIOR
1,LORENA,SÃO PAULO,DIESEL S10,OUTRO,6.25,INTERIOR
2,LORENA,SÃO PAULO,DIESEL S10,OUTRO,6.39,INTERIOR
3,LORENA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
4,LORENA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
5,LORENA,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
6,LORENA,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
7,LORENA,SÃO PAULO,DIESEL S10,NACIONAL,6.659000000000001,INTERIOR
1,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.2490000000000006,METRÓPOLE
2,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,METRÓPOLE
3,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.49,METRÓPOLE
4,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.49,METRÓPOLE
5,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,METRÓPOLE
6,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.59,METRÓPOLE
7,MAUA,SÃO PAULO,DIESEL S10,NACIONAL,6.69,METRÓPOLE
8,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.89,METRÓPOLE
9,MAUA,SÃO PAULO,DIESEL S10,NACIONAL,6.89,METRÓPOLE
1,ITATIBA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
2,ITATIBA,SÃO PAULO,DIESEL S10,OUTRO,6.579000000000001,INTERIOR
3,ITATIBA,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
4,ITATIBA,SÃO PAULO,DIESEL S10,OUTRO,6.739000000000001,INTERIOR
5,ITATIBA,SÃO PAULO,DIESEL S10,NACIONAL,6.79,INTERIOR
6,ITATIBA,SÃO PAULO,DIESEL S10,OUTRO,6.9,INTERIOR
7,ITATIBA,SÃO PAULO,DIESEL S10,NACIONAL,6.9,INTERIOR
1,COSMOPOLIS,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
2,COSMOPOLIS,SÃO PAULO,DIESEL S10,NACIONAL,6.49,INTERIOR
