,POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
329,5,AVARE,SÃO PAULO,DIESEL S10,OUTRO,6.79,INTERIOR
330,6,AVARE,SÃO PAULO,DIESEL S10,OUTRO,6.799000000000001,INTERIOR
332,1,JOSE BONIFACIO,SÃO PAULO,DIESEL S10,OUTRO,6.389000000000001,INTERIOR
333,2,JOSE BONIFACIO,SÃO PAULO,DIESEL S10,OUTRO,6.39,INTERIOR
334,3,JOSE BONIFACIO,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
335,4,JOSE BONIFACIO,SÃO PAULO,DIESEL S10,OUTRO,6.65,INTERIOR
339,8,JOSE BONIFACIO,SÃO PAULO,DIESEL S10,OUTRO,6.89,INTERIOR
340,9,JOSE BONIFACIO,SÃO PAULO,DIESEL S10,OUTRO,6.899000000000001,INTERIOR
344,4,BOTUCATU,SÃO PAULO,DIESEL S10,OUTRO,6.579000000000001,INTERIOR
345,5,BOTUCATU,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
346,6,BOTUCATU,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
347,1,CAMPINAS,SÃO PAULO,DIESEL S10,OUTRO,5.999,INTERIOR
350,4,CAMPINAS,SÃO PAULO,DIESEL S10,OUTRO,6.377000000000001,INTERIOR
351,5,CAMPINAS,SÃO PAULO,DIESEL S10,OUTRO,6.397,INTERIOR
352,6,CAMPINAS,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
353,7,CAMPINAS,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
354,8,CAMPINAS,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
355,9,CAMPINAS,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
356,10,CAMPINAS,SÃO PAULO,DIESEL S10,OUTRO,6.45,INTERIOR
357,11,CAMPINAS,SÃO PAULO,DIESEL S10,OUTRO,6.479000000000001,INTERIOR
359,13,CAMPINAS,SÃO PAULO,DIESEL S10,OUTRO,6.497000000000001,INTERIOR
363,17,CAMPINAS,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
364,18,CAMPINAS,SÃO PAULO,DIESEL S10,OUTRO,6.597,INTERIOR
365,19,CAMPINAS,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
366,20,CAMPINAS,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
367,21,CAMPINAS,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
369,23,CAMPINAS,SÃO PAULO,DIESEL S10,OUTRO,6.649000000000001,INTERIOR
370,24,CAMPINAS,SÃO PAULO,DIESEL S10,OUTRO,6.699000000000001,INTERIOR
371,25,CAMPINAS,SÃO PAULO,DIESEL S10,OUTRO,6.699000000000001,INTERIOR
372,26,CAMPINAS,SÃO PAULO,DIESEL S10,OUTRO,6.699000000000001,INTERIOR
373,27,CAMPINAS,SÃO PAULO,DIESEL S10,OUTRO,6.699000000000001,INTERIOR
375,29,CAMPINAS,SÃO PAULO,DIESEL S10,OUTRO,6.799000000000001,INTERIOR
376,30,CAMPINAS,SÃO PAULO,DIESEL S10,OUTRO,6.8,INTERIOR
380,1,BRAGANCA PAULISTA,SÃO PAULO,DIESEL S10,OUTRO,6.29,INTERIOR
382,3,BRAGANCA PAULISTA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
