,POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
174,7,MATAO,SÃO PAULO,DIESEL,OUTRO,6.8,INTERIOR
175,1,BAURU,SÃO PAULO,DIESEL,OUTRO,6.33,INTERIOR
176,2,BAURU,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
177,3,BAURU,SÃO PAULO,DIESEL,OUTRO,6.49,INTERIOR
178,4,BAURU,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
180,6,BAURU,SÃO PAULO,DIESEL,OUTRO,6.57,INTERIOR
181,7,BAURU,SÃO PAULO,DIESEL,OUTRO,6.57,INTERIOR
182,8,BAURU,SÃO PAULO,DIESEL,OUTRO,6.699000000000001,INTERIOR
183,1,MOGI GUACU,SÃO PAULO,DIESEL,OUTRO,6.39,INTERIOR
184,2,MOGI GUACU,SÃO PAULO,DIESEL,OUTRO,6.59,INTERIOR
187,5,MOGI GUACU,SÃO PAULO,DIESEL,OUTRO,6.89,INTERIOR
188,1,DIADEMA,SÃO PAULO,DIESEL,OUTRO,5.97,INTERIOR
189,2,DIADEMA,SÃO PAULO,DIESEL,OUTRO,6.09,INTERIOR
190,3,DIADEMA,SÃO PAULO,DIESEL,OUTRO,6.1690000000000005,INTERIOR
191,4,DIADEMA,SÃO PAULO,DIESEL,OUTRO,6.22,INTERIOR
194,1,AVARE,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
195,2,AVARE,SÃO PAULO,DIESEL,OUTRO,6.5,INTERIOR
198,5,AVARE,SÃO PAULO,DIESEL,OUTRO,6.69,INTERIOR
199,1,JOSE BONIFACIO,SÃO PAULO,DIESEL,OUTRO,6.19,INTERIOR
200,2,JOSE BONIFACIO,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
201,3,JOSE BONIFACIO,SÃO PAULO,DIESEL,OUTRO,6.2490000000000006,INTERIOR
202,4,JOSE BONIFACIO,SÃO PAULO,DIESEL,OUTRO,6.39,INTERIOR
203,5,JOSE BONIFACIO,SÃO PAULO,DIESEL,OUTRO,6.42,INTERIOR
204,6,JOSE BONIFACIO,SÃO PAULO,DIESEL,OUTRO,6.599000000000001,INTERIOR
208,10,JOSE BONIFACIO,SÃO PAULO,DIESEL,OUTRO,6.8,INTERIOR
210,2,BOTUCATU,SÃO PAULO,DIESEL,OUTRO,6.379000000000001,INTERIOR
212,4,BOTUCATU,SÃO PAULO,DIESEL,OUTRO,6.45,INTERIOR
213,1,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,5.949,INTERIOR
214,2,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,5.999,INTERIOR
215,3,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.097,INTERIOR
216,4,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
219,7,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
220,8,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.25,INTERIOR
221,9,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.279000000000001,INTERIOR
223,11,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
224,12,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
226,14,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
227,15,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
228,16,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.4590000000000005,INTERIOR
229,17,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.559000000000001,INTERIOR
233,1,BRAGANCA,SÃO PAULO,DIESEL,OUTRO,6.09,INTERIOR
234,2,BRAGANCA,SÃO PAULO,DIESEL,OUTRO,6.296,INTERIOR
236,4,BRAGANCA,SÃO PAULO,DIESEL,OUTRO,6.33,INTERIOR
237,5,BRAGANCA,SÃO PAULO,DIESEL,OUTRO,6.33,INTERIOR
238,6,BRAGANCA,SÃO PAULO,DIESEL,OUTRO,6.33,INTERIOR
239,7,BRAGANCA,SÃO PAULO,DIESEL,OUTRO,6.59,INTERIOR
242,1,JUNDIAI,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
243,2,JUNDIAI,SÃO PAULO,DIESEL,OUTRO,6.45,INTERIOR
245,1,IBITINGA,SÃO PAULO,DIESEL,OUTRO,6.289000000000001,INTERIOR
246,2,IBITINGA,SÃO PAULO,DIESEL,OUTRO,6.289000000000001,INTERIOR
247,3,IBITINGA,SÃO PAULO,DIESEL,OUTRO,6.3,INTERIOR
248,4,IBITINGA,SÃO PAULO,DIESEL,OUTRO,6.69,INTERIOR
249,5,IBITINGA,SÃO PAULO,DIESEL,OUTRO,6.99,INTERIOR
252,3,CRUZEIRO,SÃO PAULO,DIESEL,OUTRO,6.65,INTERIOR
257,1,MARILIA,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
261,5,MARILIA,SÃO PAULO,DIESEL,OUTRO,6.829000000000001,INTERIOR
262,1,CACAPAVA,SÃO PAULO,DIESEL,OUTRO,5.99,INTERIOR
264,3,CACAPAVA,SÃO PAULO,DIESEL,OUTRO,6.2,INTERIOR
266,1,ITAQUAQUECETUBA,SÃO PAULO,DIESEL,OUTRO,6.099,METRÓPOLE
267,2,ITAQUAQUECETUBA,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,METRÓPOLE
269,1,ARARAS,SÃO PAULO,DIESEL,OUTRO,5.999,INTERIOR
270,2,ARARAS,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
271,3,ARARAS,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
273,5,ARARAS,SÃO PAULO,DIESEL,OUTRO,6.4590000000000005,INTERIOR
274,6,ARARAS,SÃO PAULO,DIESEL,OUTRO,6.4590000000000005,INTERIOR
275,7,ARARAS,SÃO PAULO,DIESEL,OUTRO,6.5760000000000005,INTERIOR
279,1,GARCA,SÃO PAULO,DIESEL,OUTRO,6.39,INTERIOR
280,2,GARCA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
282,4,GARCA,SÃO PAULO,DIESEL,OUTRO,6.799000000000001,INTERIOR
283,1,ITU,SÃO PAULO,DIESEL,OUTRO,6.099,INTERIOR
