,POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
149,6,ITAPOLIS,SÃO PAULO,DIESEL,OUTRO,6.79,INTERIOR
150,7,ITAPOLIS,SÃO PAULO,DIESEL,OUTRO,6.79,INTERIOR
151,1,ITAPIRA,SÃO PAULO,DIESEL,NACIONAL,6.399000000000001,INTERIOR
152,2,ITAPIRA,SÃO PAULO,DIESEL,OUTRO,6.64,INTERIOR
153,3,ITAPIRA,SÃO PAULO,DIESEL,OUTRO,6.67,INTERIOR
154,1,HORTOLANDIA,SÃO PAULO,DIESEL,OUTRO,6.099,INTERIOR
155,2,HORTOLANDIA,SÃO PAULO,DIESEL,NACIONAL,6.189000000000001,INTERIOR
156,3,HORTOLANDIA,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
157,4,HORTOLANDIA,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
158,5,HORTOLANDIA,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
159,6,HORTOLANDIA,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
160,7,HORTOLANDIA,SÃO PAULO,DIESEL,NACIONAL,6.599000000000001,INTERIOR
161,1,AMERICANA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
162,2,AMERICANA,SÃO PAULO,DIESEL,NACIONAL,6.449000000000001,INTERIOR
163,3,AMERICANA,SÃO PAULO,DIESEL,NACIONAL,6.4990000000000006,INTERIOR
164,1,DRACENA,SÃO PAULO,DIESEL,OUTRO,6.49,INTERIOR
165,2,DRACENA,SÃO PAULO,DIESEL,OUTRO,6.55,INTERIOR
166,3,DRACENA,SÃO PAULO,DIESEL,NACIONAL,6.59,INTERIOR
167,4,DRACENA,SÃO PAULO,DIESEL,OUTRO,6.59,INTERIOR
168,1,MATAO,SÃO PAULO,DIESEL,OUTRO,6.29,INTERIOR
169,2,MATAO,SÃO PAULO,DIESEL,OUTRO,6.39,INTERIOR
170,3,MATAO,SÃO PAULO,DIESEL,OUTRO,6.4,INTERIOR
171,4,MATAO,SÃO PAULO,DIESEL,OUTRO,6.69,INTERIOR
172,5,MATAO,SÃO PAULO,DIESEL,OUTRO,6.75,INTERIOR
173,6,MATAO,SÃO PAULO,DIESEL,NACIONAL,6.799000000000001,INTERIOR
174,7,MATAO,SÃO PAULO,DIESEL,OUTRO,6.8,INTERIOR
175,1,BAURU,SÃO PAULO,DIESEL,OUTRO,6.33,INTERIOR
176,2,BAURU,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
177,3,BAURU,SÃO PAULO,DIESEL,OUTRO,6.49,INTERIOR
178,4,BAURU,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
179,5,BAURU,SÃO PAULO,DIESEL,NACIONAL,6.4990000000000006,INTERIOR
180,6,BAURU,SÃO PAULO,DIESEL,OUTRO,6.57,INTERIOR
181,7,BAURU,SÃO PAULO,DIESEL,OUTRO,6.57,INTERIOR
182,8,BAURU,SÃO PAULO,DIESEL,OUTRO,6.699000000000001,INTERIOR
183,1,MOGI GUACU,SÃO PAULO,DIESEL,OUTRO,6.39,INTERIOR
184,2,MOGI GUACU,SÃO PAULO,DIESEL,OUTRO,6.59,INTERIOR
185,3,MOGI GUACU,SÃO PAULO,DIESEL,NACIONAL,6.659000000000001,INTERIOR
186,4,MOGI GUACU,SÃO PAULO,DIESEL,NACIONAL,6.797000000000001,INTERIOR
