Posto,Município,Estado,Combustível,BANDEIRA,PREÇO VENDA
7,MIRASSOL,São Paulo,DIESEL S10,BRANCA,6599
8,MIRASSOL,São Paulo,DIESEL S10,ALESAT,6699
9,MIRASSOL,São Paulo,DIESEL S10,VIBRA ENERGIA,6899
1,GUARATINGUETA,São Paulo,DIESEL S10,VIBRA ENERGIA,6490
2,GUARATINGUETA,São Paulo,DIESEL S10,BRANCA,6590
3,GUARATINGUETA,São Paulo,DIESEL S10,IPIRANGA,6600
4,GUARATINGUETA,São Paulo,DIESEL S10,BRANCA,6840
5,GUARATINGUETA,São Paulo,DIESEL S10,BRANCA,6840
1,ITAPEVA,São Paulo,DIESEL S10,BRANCA,6139
2,ITAPEVA,São Paulo,DIESEL S10,BRANCA,6139
3,ITAPEVA,São Paulo,DIESEL S10,TAURUS,6199
4,ITAPEVA,São Paulo,DIESEL S10,BRANCA,6349
5,ITAPEVA,São Paulo,DIESEL S10,BRANCA,6399
6,ITAPEVA,São Paulo,DIESEL S10,IPIRANGA,6730
7,ITAPEVA,São Paulo,DIESEL S10,RAIZEN,6990
8,ITAPEVA,São Paulo,DIESEL S10,RAIZEN,6999
1,CATANDUVA,São Paulo,DIESEL S10,BRANCA,6399
2,CATANDUVA,São Paulo,DIESEL S10,VIBRA ENERGIA,6488
3,CATANDUVA,São Paulo,DIESEL S10,IPIRANGA,6490
4,CATANDUVA,São Paulo,DIESEL S10,RAIZEN,6499
5,CATANDUVA,São Paulo,DIESEL S10,RAIZEN,6499
6,CATANDUVA,São Paulo,DIESEL S10,IPIRANGA,6499
7,CATANDUVA,São Paulo,DIESEL S10,VIBRA ENERGIA,6599
8,CATANDUVA,São Paulo,DIESEL S10,BRANCA,6699
9,CATANDUVA,São Paulo,DIESEL S10,BRANCA,6700
10,CATANDUVA,São Paulo,DIESEL S10,BRANCA,6899
11,CATANDUVA,São Paulo,DIESEL S10,VIBRA ENERGIA,6899
1,FRANCA,São Paulo,DIESEL S10,BRANCA,6399
2,FRANCA,São Paulo,DIESEL S10,BRANCA,6450
3,FRANCA,São Paulo,DIESEL S10,IPIRANGA,6470
4,FRANCA,São Paulo,DIESEL S10,IPIRANGA,6490
5,FRANCA,São Paulo,DIESEL S10,VIBRA ENERGIA,6495
6,FRANCA,São Paulo,DIESEL S10,VIBRA ENERGIA,6497
7,FRANCA,São Paulo,DIESEL S10,RAIZEN,6497
8,FRANCA,São Paulo,DIESEL S10,BRANCA,6499
9,FRANCA,São Paulo,DIESEL S10,BRANCA,6529
10,FRANCA,São Paulo,DIESEL S10,BRANCA,6590
11,FRANCA,São Paulo,DIESEL S10,IPIRANGA,6590
12,FRANCA,São Paulo,DIESEL S10,VIBRA ENERGIA,6590
13,FRANCA,São Paulo,DIESEL S10,BRANCA,6593
14,FRANCA,São Paulo,DIESEL S10,IPIRANGA,6599
15,FRANCA,São Paulo,DIESEL S10,IPIRANGA,6599
16,FRANCA,São Paulo,DIESEL S10,BRANCA,6599
17,FRANCA,São Paulo,DIESEL S10,VIBRA ENERGIA,6655
18,FRANCA,São Paulo,DIESEL S10,BRANCA,6749
1,MONTE ALTO,São Paulo,DIESEL S10,BRANCA,6459
2,MONTE ALTO,São Paulo,DIESEL S10,BRANCA,6459
3,MONTE ALTO,São Paulo,DIESEL S10,IPIRANGA,6690
4,MONTE ALTO,São Paulo,DIESEL S10,RAIZEN,6779
5,MONTE ALTO,São Paulo,DIESEL S10,VIBRA ENERGIA,6789
6,MONTE ALTO,São Paulo,DIESEL S10,BRANCA,6789
7,MONTE ALTO,São Paulo,DIESEL S10,RAIZEN,6789
1,JACAREI,São Paulo,DIESEL S10,BRANCA,6190
2,JACAREI,São Paulo,DIESEL S10,BRANCA,6290
3,JACAREI,São Paulo,DIESEL S10,BRANCA,6290
4,JACAREI,São Paulo,DIESEL S10,BRANCA,6400
1,JAU,São Paulo,DIESEL S10,IPIRANGA,6590
2,JAU,São Paulo,DIESEL S10,BRANCA,6800
1,ARACATUBA,São Paulo,DIESEL S10,VIBRA ENERGIA,6520
2,ARACATUBA,São Paulo,DIESEL S10,IPIRANGA,6599
3,ARACATUBA,São Paulo,DIESEL S10,IPIRANGA,6599
4,ARACATUBA,São Paulo,DIESEL S10,RAIZEN,6640
5,ARACATUBA,São Paulo,DIESEL S10,BRANCA,6690
6,ARACATUBA,São Paulo,DIESEL S10,VIBRA ENERGIA,6699
7,ARACATUBA,São Paulo,DIESEL S10,IPIRANGA,6700
8,ARACATUBA,São Paulo,DIESEL S10,VIBRA ENERGIA,6790
9,ARACATUBA,São Paulo,DIESEL S10,VIBRA ENERGIA,6790
10,ARACATUBA,São Paulo,DIESEL S10,IPIRANGA,6799
11,ARACATUBA,São Paulo,DIESEL S10,VIBRA ENERGIA,6899
12,ARACATUBA,São Paulo,DIESEL S10,BRANCA,6899
13,ARACATUBA,São Paulo,DIESEL S10,RAIZEN,6899
14,ARACATUBA,São Paulo,DIESEL S10,IPIRANGA,6990
15,ARACATUBA,São Paulo,DIESEL S10,IPIRANGA,6990
16,ARACATUBA,São Paulo,DIESEL S10,BRANCA,6999
17,ARACATUBA,São Paulo,DIESEL S10,BRANCA,7390
1,BARRETOS,São Paulo,DIESEL S10,BRANCA,6350
2,BARRETOS,São Paulo,DIESEL S10,BRANCA,6390
3,BARRETOS,São Paulo,DIESEL S10,BRANCA,6499
4,BARRETOS,São Paulo,DIESEL S10,BRANCA,6599
5,BARRETOS,São Paulo,DIESEL S10,VIBRA ENERGIA,6685
6,BARRETOS,São Paulo,DIESEL S10,IPIRANGA,6790
7,BARRETOS,São Paulo,DIESEL S10,IPIRANGA,6890
8,BARRETOS,São Paulo,DIESEL S10,VIBRA ENERGIA,6930
9,BARRETOS,São Paulo,DIESEL S10,RAIZEN,6990
